id_str,tweet_url,created_at,text,lang,retweet_count,screen_name,user_mention,hashtags,query,media,url,lat,lng,in_reply_to_screen_name,in_reply_to_status_id
378927146393403392,https://twitter.com/hushupitsjenny/status/378927146393403392,2013-09-14 17:04:06+00:00,RT @BitchItsShelby: #oomf fine asfff.,tr,2,hushupitsjenny,BitchItsShelby,oomf,filter:hashtags,,,,,,
378927146389221376,https://twitter.com/7up31/status/378927146389221376,2013-09-14 17:04:06+00:00,#FF_A7la_Specialツ @Abrar23m  رائعه تستحق المتابعه بجداره..شكرا لكم,ar,0,7up31,Abrar23m,FF_A7la_Specialツ,filter:hashtags,,,,,,
378927146389213184,https://twitter.com/JaePeaDee/status/378927146389213184,2013-09-14 17:04:06+00:00,"Also, is Pax his given name or is it one of those ""this name was revealed to me on my first ayahuasca journey"" deals? #paxdickinson",en,0,JaePeaDee,,paxdickinson,filter:hashtags,,,,,,
378927146388836352,https://twitter.com/Mankkays/status/378927146388836352,2013-09-14 17:04:06+00:00,Great night out with friends! #castleboardcafé #RedRoom,en,0,Mankkays,,castleboardcafé,filter:hashtags,,,,,,
378927146385027072,https://twitter.com/Mycanadienseboy/status/378927146385027072,2013-09-14 17:04:06+00:00,#200CosasSobreMi odio cuando me dicen lo que tengo que hacer,es,0,Mycanadienseboy,,200CosasSobreMi,filter:hashtags,,,,,,
378927146385022976,https://twitter.com/aguirre_juan/status/378927146385022976,2013-09-14 17:04:06+00:00,"#200CosasSobreMi No tengo carro,pero te puedo llevar en burrito ;) jajaja :)",es,0,aguirre_juan,,200CosasSobreMi,filter:hashtags,,,,,,
378927146384650240,https://twitter.com/acharee_ree/status/378927146384650240,2013-09-14 17:04:06+00:00,RT @maymind: KS at งานเปิดตัว MTV Thailand pic 3 คุณและคุณเท่านั้น #ล้วงกระเป๋าหาเศษตังค์ 555 http://t.co/CaJRXxsPnP,th,30,acharee_ree,maymind,ล้วงกระเป๋าหาเศษตังค์,filter:hashtags,https://pbs.twimg.com/media/BT-koqvCAAAVyNC.jpg,,,,,
378927146380832768,https://twitter.com/Nick_Scannell/status/378927146380832768,2013-09-14 17:04:06+00:00,The only home that seems like home.. milwaukee @4seasonssk8park its time for a bowl sesh #skate #bowl… http://t.co/jQvWZCTZHE,en,0,Nick_Scannell,4seasonssk8park,skate,filter:hashtags,,http://instagram.com/p/eP55pEPD7i/,,,,
378927146368245760,https://twitter.com/esraaelnashar/status/378927146368245760,2013-09-14 17:04:06+00:00,بقالي اربع ساعات سفر من اسكندرية لقاهرة ... رجلي خللت ... يا رب اوصل ..#help,ar,0,esraaelnashar,,help,filter:hashtags,,,,,,
378927146355679232,https://twitter.com/manuu8888/status/378927146355679232,2013-09-14 17:04:06+00:00,RT @YourMMANews: Report: Floyd Could Cash in $100M for Canelo Bout. #boxing http://t.co/JlZt2XdzzF,en,5,manuu8888,YourMMANews,boxing,filter:hashtags,,http://bleacherreport.com/tb/dbf7w?utm_campaign=tsiphone&utm_medium=referral&utm_source=twitter.com,,,,
378927146355265536,https://twitter.com/tw_henrique/status/378927146355265536,2013-09-14 17:04:06+00:00,#fotografia #perfeita http://t.co/xncZeRMoRr,pt,0,tw_henrique,,fotografia,filter:hashtags,,http://fb.me/15chYXCbs,,,,
378927146351087616,https://twitter.com/tres3g/status/378927146351087616,2013-09-14 17:04:06+00:00,Checked in @ Rangers Ballpark for the Athletics vs. Rangers game w/ http://t.co/8nWNKIdkPg #athletics #rangers,en,0,tres3g,,athletics,filter:hashtags,,http://MLB.com,,,,
378927146343100417,https://twitter.com/AlbionChat/status/378927146343100417,2013-09-14 17:04:06+00:00,RT @00snook: Please sponsor me for the @The_REMF #CPFC to #BHAFC bike ride on the 29th September http://t.co/0lWK7jgMJr,en,1,AlbionChat,00snook,CPFC,filter:hashtags,,http://www.justgiving.com/snook4charity,,,,
378927146325905408,https://twitter.com/MelanieGilezJB/status/378927146325905408,2013-09-14 17:04:06+00:00,#200CosasSobreMi cada vez que voy a comprar helado siempre elijo los mismo gustos,es,0,MelanieGilezJB,,200CosasSobreMi,filter:hashtags,,,,,,
378927146322132992,https://twitter.com/rob_sabb/status/378927146322132992,2013-09-14 17:04:06+00:00,La giocata più veloce è stata lo slow motion sul fallo di mano di vidal #InterJuve,it,0,rob_sabb,,InterJuve,filter:hashtags,,,,,,
378927146317541378,https://twitter.com/shelovestyles69/status/378927146317541378,2013-09-14 17:04:06+00:00,"#rt SEGUIMI E TI SEGUO, PROMETTO DI RICAMBIARE SUBITISSIMO, RICAMBIO A TUTTI, VOGLIO SEGUIRVI FINCHE' NON RAGGIUNGO IL LIMIT x3445",it,0,shelovestyles69,,rt,filter:hashtags,,,,,,
378927146313732096,https://twitter.com/maurovime/status/378927146313732096,2013-09-14 17:04:06+00:00,#amolachampions Xavi con 93,es,0,maurovime,,amolachampions,filter:hashtags,,,41.40661695,2.13938577,,
378927146313711616,https://twitter.com/a_majeed1166/status/378927146313711616,2013-09-14 17:04:06+00:00,"تحت المظلّه ""سامي"" وفي المدرّج ""زعماء"" وفي المَلعب ""نجوم"" ليلةٌ زَرقاء عنوانها (إذا لعب الهلال فـ خبروني أن الفنّ منبعه #الهلال ) ♡♡'",ar,0,a_majeed1166,,الهلال,filter:hashtags,,,,,,
378927146313338880,https://twitter.com/Nashvillerocker/status/378927146313338880,2013-09-14 17:04:06+00:00,RT @SusanAylworth: ❥❥❥Luv my Tweeps! ❥❥❥ #FF:  @Caboome_Ebook @Nashvillerocker @JamesJMurray1 @DietingMadhouse @samaraking @ellenharger @In…,en,1,Nashvillerocker,SusanAylworth,FF,filter:hashtags,,,,,,
378927146305327104,https://twitter.com/PaceBMW/status/378927146305327104,2013-09-14 17:04:06+00:00,The #i3 electric vehicle embodies the spirit of #BMW in an entirely new way. Learn more about its unique design: http://t.co/ZzBLvzsXtu,en,0,PaceBMW,,i3,filter:hashtags,,http://3birds.ly/191DPLl,,,,
378927146304929792,https://twitter.com/negadiulia/status/378927146304929792,2013-09-14 17:04:06+00:00,planet hamp é foda #eugosto,pt,0,negadiulia,,eugosto,filter:hashtags,,,-29.66647097,-51.2512392,,
378927146296569856,https://twitter.com/akibapinafore3/status/378927146296569856,2013-09-14 17:04:06+00:00,◆みうなωωω http://t.co/rAjmSVmuAZ #akiba,ja,0,akibapinafore3,,akiba,filter:hashtags,,http://pina3.doorblog.jp/archives/32049347.html,,,,
378927146288164864,https://twitter.com/retnanfz/status/378927146288164864,2013-09-14 17:04:06+00:00,"B""@AhSpeakDoang: #OmSpikTanya A.Emang males keluar malem B.Ga dibolehin ?""",in,0,retnanfz,AhSpeakDoang,OmSpikTanya,filter:hashtags,,,,,,
